att_metadataReference,has_keyword_hit,decision_type_label,case_caseCompanies,case_caseInitiationDate,case_caseLastDecisionDate,case_caseInstrument,case_caseNumber,case_caseRegulation,case_caseSimplified,case_caseTitle,dec_decisionAdoptionDate,dec_decisionNumber,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionTypes_code,dec_decisionTypes_label,dec_language,dec_metadataReference
M.7876-DEC48581-ATT87,false,Art. 6(1)(b),PANALPINA / DUTCH FLOWER GROUP / AIRFLO,2015-12-04,2016-01-11,Merger,M.7876,Council Regulation 139/2004,Simplified procedure,PANALPINA / DUTCH FLOWER GROUP / AIRFLO,2016-01-11,48581,,DecisionType20310,Art. 6(1)(b),en,M.7876-DEC48581
M.6544-DEC46602-ATT122,false,Art. 6(1)(b),ROYAL BANK OF CANADA / RBC DEXIA INVESTOR SERVICES LIMITED | SUMITOMO MITSUI FINANCIAL GROUP / RBS AVIATION CAPITAL GROUP ,2012-04-04,2012-05-11,Merger,M.6544,Council Regulation 139/2004,Simplified procedure,ROYAL BANK OF CANADA / RBC DEXIA INVESTOR SERVICES LIMITED,2012-05-11,46602,2012-05-23,DecisionType20310,Art. 6(1)(b),en,M.6544-DEC46602
M.7875-DEC48564-ATT82,false,Art. 6(1)(b),ICG / CAPITON / PREFERE RESINS HOLDING,2015-11-27,2015-12-22,Merger,M.7875,Council Regulation 139/2004,Simplified procedure,ICG / CAPITON / PREFERE RESINS HOLDING,2015-12-22,48564,2016-01-26,DecisionType20310,Art. 6(1)(b),en,M.7875-DEC48564
M.7885-DEC48624-ATT114,false,Art. 6(1)(b),BP EUROPA / RUHR OEL,2016-01-06,2016-02-01,Merger,M.7885,Council Regulation 139/2004,Simplified procedure,BP EUROPA / RUHR OEL,2016-02-01,48624,2016-02-05,DecisionType20310,Art. 6(1)(b),en,M.7885-DEC48624
M.7401-DEC47872-ATT318,false,Art. 6(1)(b),BLACKSTONE / ALLIANCE BV / ALLIANCE AUTOMOTIVE GROUP,2014-10-22,2014-11-26,Merger,M.7401,Council Regulation 139/2004,Normal procedure,BLACKSTONE / ALLIANCE BV / ALLIANCE AUTOMOTIVE GROUP,2014-11-26,47872,2015-02-11,DecisionType20310,Art. 6(1)(b),en,M.7401-DEC47872
M.6553-DEC46583-ATT75,false,Art. 6(1)(b),REITAN SERVICEHANDEL / R-KIOSKI / UAB IMPRESS TEVA / OÜ LEHEPUNKT,2012-03-26,2012-04-25,Merger,M.6553,Council Regulation 139/2004,Simplified procedure,REITAN SERVICEHANDEL / R-KIOSKI / UAB IMPRESS TEVA / OÜ LEHEPUNKT,2012-04-25,46583,2012-05-08,DecisionType20310,Art. 6(1)(b),en,M.6553-DEC46583
M.7884-DEC48582-ATT86,false,Art. 6(1)(b),ATOS / UNIFY,2015-12-04,2016-01-11,Merger,M.7884,Council Regulation 139/2004,Simplified procedure,ATOS / UNIFY,2016-01-11,48582,2016-01-19,DecisionType20310,Art. 6(1)(b),en,M.7884-DEC48582
M.7400-DEC47908-ATT302,false,Art. 6(1)(b),FEDERAL-MOGUL CORPORATION / TRW ENGINE COMPONENTS | PROJECT EUGENE,2014-11-10,2014-12-15,Merger,M.7400,Council Regulation 139/2004,Normal procedure,FEDERAL-MOGUL CORPORATION / TRW ENGINE COMPONENTS,2014-12-15,47908,2015-01-24,DecisionType20310,Art. 6(1)(b),en,M.7400-DEC47908
M.6554-DEC46781-ATT219,false,Art. 6(1)(b),EADS / STA / ELBE FLUGZEUGWERKE JV,2012-08-08,2012-09-13,Merger,M.6554,Council Regulation 139/2004,Normal procedure,EADS / STA / ELBE FLUGZEUGWERKE JV,2012-09-13,46781,2012-10-05,DecisionType20310,Art. 6(1)(b),en,M.6554-DEC46781
M.7883-DEC48894-ATT171,false,Art. 6(1)(b),NPM CAPITAL / THIJS HENDRIX BEHEER / HENDRIX GENETICS,2016-06-14,2016-07-15,Merger,M.7883,Council Regulation 139/2004,Simplified procedure,NPM CAPITAL / THIJS HENDRIX BEHEER / HENDRIX GENETICS,2016-07-15,48894,2016-08-03,DecisionType20310,Art. 6(1)(b),en,M.7883-DEC48894
