att_metadataReference,has_keyword_hit,decision_type_label,case_caseCompanies,case_caseInitiationDate,case_caseLastDecisionDate,case_caseInstrument,case_caseNumber,case_caseRegulation,case_caseSimplified,case_caseTitle,dec_decisionAdoptionDate,dec_decisionNumber,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionTypes_code,dec_decisionTypes_label,dec_language,dec_metadataReference
M.12418-DEC{9EB47A45-4CD6-4062-BBE2-3E2323DE2211}-ATT64,false,Art. 6(1)(b),,2026-03-30,2026-06-12,Merger,M.12418,Council Regulation 139/2004,Simplified,INFLEXION / MARIOFF,2026-06-12,9EB47A45-4CD6-4062-BBE2-3E2323DE2211,2026-06-25,DecisionType20310,Art. 6(1)(b),en,M.12418-DEC{9EB47A45-4CD6-4062-BBE2-3E2323DE2211}
M.11562-DEC54687-ATT90,false,Art. 6(1)(b),TASARU / BENTELER / HOLON,2024-05-28,2024-06-19,Merger,M.11562,Council Regulation 139/2004,Simplified procedure,TASARU / BENTELER / HOLON,2024-06-19,54687,2024-06-26,DecisionType20310,Art. 6(1)(b),en,M.11562-DEC54687
M.12410-DEC{BB5CD709-C1B2-4840-926E-ACDD35FFF7F4}-ATT51,false,Art. 6(1)(b),,2026-03-23,2026-06-12,Merger,M.12410,Council Regulation 139/2004,Super-simplified,TOTALENERGIES / MASDAR / JV,2026-06-12,BB5CD709-C1B2-4840-926E-ACDD35FFF7F4,2026-06-22,DecisionType20310,Art. 6(1)(b),en,M.12410-DEC{BB5CD709-C1B2-4840-926E-ACDD35FFF7F4}
M.11563-DEC{6350D435-D72B-4700-A4BA-0B92CAADF3CF}-ATT301,false,Art. 6(1)(b),,2024-04-22,2024-10-03,Merger,M.11563,Council Regulation 139/2004,Normal,MSC / CLASQUIN,2024-10-03,6350D435-D72B-4700-A4BA-0B92CAADF3CF,2025-01-21,DecisionType20310,Art. 6(1)(b),en,M.11563-DEC{6350D435-D72B-4700-A4BA-0B92CAADF3CF}
M.12411-DEC{D7BD689F-4318-47B3-BB19-EE20B0C03898}-ATT100,false,Art. 6(1)(b),,2026-03-30,2026-05-21,Merger,M.12411,Council Regulation 139/2004,Super-simplified,CBRE NAPIER / DALMORE / ALLIANZ CAPITAL PARTNERS / AIMCO / PORTERBROOK HOLDINGS,2026-05-21,D7BD689F-4318-47B3-BB19-EE20B0C03898,2026-05-29,DecisionType20310,Art. 6(1)(b),en,M.12411-DEC{D7BD689F-4318-47B3-BB19-EE20B0C03898}
M.11564-DEC{0A106BA1-5B86-49F8-9B9E-75D7E97A7A92}-ATT4193,false,Purchaser approval,,2024-04-22,2025-06-25,Merger,M.11564,Council Regulation 139/2004,Normal,INTERNATIONAL PAPER / DS SMITH,2025-06-25,0A106BA1-5B86-49F8-9B9E-75D7E97A7A92,,DecisionType201250,Purchaser approval,en,M.11564-DEC{0A106BA1-5B86-49F8-9B9E-75D7E97A7A92}
M.11564-DEC{1AB5751C-B9A5-4EC5-A244-5FD43C9C4568}-ATT4061,false,Art. 6(1)(b) with conditions & obligations,,2024-04-22,2025-06-25,Merger,M.11564,Council Regulation 139/2004,Normal,INTERNATIONAL PAPER / DS SMITH,2025-01-24,1AB5751C-B9A5-4EC5-A244-5FD43C9C4568,,DecisionType20212,Art. 6(1)(b) with conditions & obligations,en,M.11564-DEC{1AB5751C-B9A5-4EC5-A244-5FD43C9C4568}
M.12412-DEC{2D7734FB-50A3-4177-91DB-E30D27615020}-ATT87,false,Art. 6(1)(b),,2026-03-30,2026-06-16,Merger,M.12412,Council Regulation 139/2004,Simplified,INCHCAPE / SILVER STAR,2026-06-16,2D7734FB-50A3-4177-91DB-E30D27615020,2026-06-22,DecisionType20310,Art. 6(1)(b),en,M.12412-DEC{2D7734FB-50A3-4177-91DB-E30D27615020}
M.12413-DEC{0809B04A-8941-4CBB-8685-1FAF7101F2C3}-ATT68,false,Art. 6(1)(b),,2026-03-30,2026-05-22,Merger,M.12413,Council Regulation 139/2004,Simplified,VISMA / IN EXTENSO / FULLL,2026-05-22,0809B04A-8941-4CBB-8685-1FAF7101F2C3,2026-05-29,DecisionType20310,Art. 6(1)(b),en,M.12413-DEC{0809B04A-8941-4CBB-8685-1FAF7101F2C3}
M.11566-DEC54741-ATT120,false,Art. 6(1)(b),FIVE ARROWS / CHEETAH / SOLVARES,2024-06-14,2024-07-08,Merger,M.11566,Council Regulation 139/2004,Simplified procedure,FIVE ARROWS / CHEETAH / SOLVARES,2024-07-08,54741,2024-07-17,DecisionType20310,Art. 6(1)(b),en,M.11566-DEC54741
M.12414-DEC{CED1A885-C7CE-4F3F-B874-E08FA8B5862D}-ATT68,false,Art. 6(1)(b),,2026-03-30,2026-05-28,Merger,M.12414,Council Regulation 139/2004,Simplified,ABERDEEN / DIGITALBRIDGE / ZEMOBILITY,2026-05-28,CED1A885-C7CE-4F3F-B874-E08FA8B5862D,2026-06-16,DecisionType20310,Art. 6(1)(b),en,M.12414-DEC{CED1A885-C7CE-4F3F-B874-E08FA8B5862D}
M.11567-DEC54660-ATT95,false,Art. 6(1)(b),MSI / FINHOLD / SALCEF,2024-05-13,2024-06-06,Merger,M.11567,Council Regulation 139/2004,Super simplified procedure,MSI / FINHOLD / SALCEF,2024-06-06,54660,2024-06-17,DecisionType20310,Art. 6(1)(b),en,M.11567-DEC54660
M.12415-DEC{74C1494D-2914-46CD-BE6D-B3CAED60A99C}-ATT78,false,Art. 6(1)(b),,2026-03-30,2026-05-28,Merger,M.12415,Council Regulation 139/2004,Simplified,APOLLO FUNDS / NIPPON SHEET GLASS COMPANY,2026-05-28,74C1494D-2914-46CD-BE6D-B3CAED60A99C,,DecisionType20310,Art. 6(1)(b),en,M.12415-DEC{74C1494D-2914-46CD-BE6D-B3CAED60A99C}
M.11568-DEC54968-ATT884,false,Art. 6(1)(b),VTTI / SNAM / ALNG,2024-09-27,2024-11-04,Merger,M.11568,Council Regulation 139/2004,Normal procedure,VTTI / SNAM / ALNG,2024-11-04,54968,2025-04-14,DecisionType20310,Art. 6(1)(b),en,M.11568-DEC54968
M.11569-DEC{11ABA83A-A600-4013-9269-2900874AC167}-ATT728,false,Art. 6(1)(b),,2024-04-30,2025-01-10,Merger,M.11569,Council Regulation 139/2004,Normal,DELI HOME / HWI / HOUTWERF / DISTRI-HOUT,2025-01-10,11ABA83A-A600-4013-9269-2900874AC167,,DecisionType20310,Art. 6(1)(b),en,M.11569-DEC{11ABA83A-A600-4013-9269-2900874AC167}
M.11570-DEC55106-ATT770,false,Art. 6(1)(b),MIDEA / ARBONIA,2024-12-11,2025-01-28,Merger,M.11570,Council Regulation 139/2004,Normal procedure,MIDEA / ARBONIA,2025-01-28,55106,2025-05-02,DecisionType20310,Art. 6(1)(b),en,M.11570-DEC55106
M.11571-DEC54781-ATT105,false,Art. 6(1)(b),KÜHNE HOLDING / AENOVA,2024-07-05,2024-07-29,Merger,M.11571,Council Regulation 139/2004,Super simplified procedure,KÜHNE HOLDING / AENOVA,2024-07-29,54781,2024-08-08,DecisionType20310,Art. 6(1)(b),en,M.11571-DEC54781
M.11572-DEC54719-ATT73,false,Art. 6(1)(b),VTTI / SHELL / DRAGON LNG,2024-06-04,2024-06-27,Merger,M.11572,Council Regulation 139/2004,Super simplified procedure,VTTI / SHELL / DRAGON LNG,2024-06-27,54719,2024-07-03,DecisionType20310,Art. 6(1)(b),en,M.11572-DEC54719
M.12420-DEC{87F0F890-2850-4DA2-AC94-2BE898D799D0}-ATT67,false,Art. 6(1)(b),,2026-03-30,2026-06-22,Merger,M.12420,Council Regulation 139/2004,Simplified,AIRTELIS / SEGULA GLOBAL SERVICES / AIRTS,2026-06-22,87F0F890-2850-4DA2-AC94-2BE898D799D0,,DecisionType20310,Art. 6(1)(b),en,M.12420-DEC{87F0F890-2850-4DA2-AC94-2BE898D799D0}
M.11573-DEC54686-ATT124,false,Art. 6(1)(b),MORGAN STANLEY / TELE COLUMBUS,2024-05-14,2024-06-19,Merger,M.11573,Council Regulation 139/2004,Simplified procedure,MORGAN STANLEY / TELE COLUMBUS,2024-06-19,54686,2024-06-27,DecisionType20310,Art. 6(1)(b),en,M.11573-DEC54686
M.11574-DEC54744-ATT107,false,Art. 6(1)(b),L CATTERTON / KIKO,2024-06-13,2024-07-08,Merger,M.11574,Council Regulation 139/2004,Simplified procedure,L CATTERTON / KIKO,2024-07-08,54744,,DecisionType20310,Art. 6(1)(b),en,M.11574-DEC54744
M.12422-DEC{2F89F1B3-9C4B-4703-BF78-5F41B425B148}-ATT63,false,Art. 6(1)(b),,2026-03-30,2026-05-07,Merger,M.12422,Council Regulation 139/2004,Super-simplified,LONE STAR FUNDS / CAPSUGEL BELGIUM / CAPSUGEL SWITZERLAND / CAPSUGEL HOLDINGS US,2026-05-07,2F89F1B3-9C4B-4703-BF78-5F41B425B148,2026-05-20,DecisionType20310,Art. 6(1)(b),en,M.12422-DEC{2F89F1B3-9C4B-4703-BF78-5F41B425B148}
M.11575-DEC55132-ATT340,false,Art. 6(1)(b),REPSOL / BUNGE / BISA,2025-01-17,2025-02-10,Merger,M.11575,Council Regulation 139/2004,Normal procedure,REPSOL / BUNGE / BISA,2025-02-10,55132,2025-06-20,DecisionType20310,Art. 6(1)(b),en,M.11575-DEC55132
M.11576-DEC54750-ATT130,false,Art. 6(1)(b),KKR / NEXEYE,2024-06-19,2024-07-11,Merger,M.11576,Council Regulation 139/2004,Simplified procedure,KKR / NEXEYE,2024-07-11,54750,2024-07-19,DecisionType20310,Art. 6(1)(b),en,M.11576-DEC54750
M.12424-DEC{7A0614C6-294E-4DC0-AD1B-CA5131BC742A}-ATT57,false,Art. 6(1)(b),,2026-04-07,2026-05-18,Merger,M.12424,Council Regulation 139/2004,Super-simplified,OCTOPUS ENERGY GROUP / SCHNEIDER ELECTRIC / UPLIGHT,2026-05-18,7A0614C6-294E-4DC0-AD1B-CA5131BC742A,2026-05-27,DecisionType20310,Art. 6(1)(b),en,M.12424-DEC{7A0614C6-294E-4DC0-AD1B-CA5131BC742A}
M.11577-DEC{4427C19E-97A0-4F2A-A481-622813120A97}-ATT905,false,Purchaser approval,,2024-04-30,2024-12-18,Merger,M.11577,Council Regulation 139/2004,Normal,EIFFAGE / EQOS,2024-12-18,4427C19E-97A0-4F2A-A481-622813120A97,,DecisionType201250,Purchaser approval,en,M.11577-DEC{4427C19E-97A0-4F2A-A481-622813120A97}
M.11577-DEC{CEFA0D37-A55A-4B5F-9128-0E2FCD574733}-ATT904,false,Art. 6(1)(b) with conditions & obligations,,2024-04-30,2024-12-18,Merger,M.11577,Council Regulation 139/2004,Normal,EIFFAGE / EQOS,2024-10-16,CEFA0D37-A55A-4B5F-9128-0E2FCD574733,,DecisionType20212,Art. 6(1)(b) with conditions & obligations,en,M.11577-DEC{CEFA0D37-A55A-4B5F-9128-0E2FCD574733}
M.11578-DEC{AE40B042-8A99-4FA0-BB5E-A24E909FA778}-ATT2951,true,Art. 6(1)(b) with conditions & obligations,,2024-04-30,2025-10-14,Merger,M.11578,Council Regulation 139/2004,Normal,BOEING / SPIRIT,2025-10-14,AE40B042-8A99-4FA0-BB5E-A24E909FA778,2026-03-12,DecisionType20212,Art. 6(1)(b) with conditions & obligations,en,M.11578-DEC{AE40B042-8A99-4FA0-BB5E-A24E909FA778}
M.12426-DEC{30EBB6F2-3208-495E-A8E9-2797C2DC3B80}-ATT107,false,Art. 6(1)(b),,2026-04-07,2026-06-15,Merger,M.12426,Council Regulation 139/2004,Simplified,ONE ROCK CAPITAL PARTNERS / EAT HAPPY / HANA GROUP,2026-06-15,30EBB6F2-3208-495E-A8E9-2797C2DC3B80,2026-06-24,DecisionType20310,Art. 6(1)(b),en,M.12426-DEC{30EBB6F2-3208-495E-A8E9-2797C2DC3B80}
M.11579-DEC54754-ATT91,false,Art. 6(1)(b),CVC / PON / URUS,2024-06-12,2024-07-12,Merger,M.11579,Council Regulation 139/2004,Super simplified procedure,CVC / PON / URUS,2024-07-12,54754,2024-07-19,DecisionType20310,Art. 6(1)(b),en,M.11579-DEC54754
M.11580-DEC54736-ATT96,false,Art. 6(1)(b),EDF / GENERALI / PARCOLOG,2024-06-12,2024-07-04,Merger,M.11580,Council Regulation 139/2004,Simplified procedure,EDF / GENERALI / PARCOLOG,2024-07-04,54736,2024-07-12,DecisionType20310,Art. 6(1)(b),en,M.11580-DEC54736
M.11581-DEC54720-ATT129,false,Art. 6(1)(b),APOLLO / PURMO,2024-06-05,2024-06-27,Merger,M.11581,Council Regulation 139/2004,Simplified procedure,APOLLO / PURMO,2024-06-27,54720,2024-07-03,DecisionType20310,Art. 6(1)(b),en,M.11581-DEC54720
M.11582-DEC54758-ATT101,false,Art. 6(1)(b),ADVENT / WPF / NUVEI,2024-06-24,2024-07-16,Merger,M.11582,Council Regulation 139/2004,Simplified procedure,ADVENT / WPF / NUVEI,2024-07-16,54758,2024-07-22,DecisionType20310,Art. 6(1)(b),en,M.11582-DEC54758
M.11583-DEC54641-ATT200,false,Art. 7(3),MARCEGAGLIA STEEL / ASCOMETAL FOS-SUR-MER,2024-07-03,2024-07-25,Merger,M.11583,Council Regulation 139/2004,Simplified procedure,MARCEGAGLIA STEEL / ASCOMETAL FOS-SUR-MER,2024-05-24,54641,,DecisionType2014,Art. 7(3),en,M.11583-DEC54641
M.11583-DEC54779-ATT199,false,Art. 6(1)(b),MARCEGAGLIA STEEL / ASCOMETAL FOS-SUR-MER,2024-07-03,2024-07-25,Merger,M.11583,Council Regulation 139/2004,Simplified procedure,MARCEGAGLIA STEEL / ASCOMETAL FOS-SUR-MER,2024-07-25,54779,2024-07-31,DecisionType20310,Art. 6(1)(b),en,M.11583-DEC54779
M.11108-DEC54055-ATT168,false,Art. 6(1)(b),MERIDIAM / AWSA I / AWSA II / A2 ROUTE / AESA,2023-06-26,2023-07-19,Merger,M.11108,Council Regulation 139/2004,Simplified procedure,MERIDIAM / AWSA I / AWSA II / A2 ROUTE / AESA,2023-07-19,54055,2023-08-01,DecisionType20310,Art. 6(1)(b),en,M.11108-DEC54055
M.12431-DEC{7AC52CE4-3D93-48A1-B434-EFFC1BC14687}-ATT48,false,Art. 6(1)(b),,2026-04-13,2026-05-11,Merger,M.12431,Council Regulation 139/2004,Super-simplified,EURAZEO / NETCO,2026-05-11,7AC52CE4-3D93-48A1-B434-EFFC1BC14687,2026-05-18,DecisionType20310,Art. 6(1)(b),en,M.12431-DEC{7AC52CE4-3D93-48A1-B434-EFFC1BC14687}
M.11100-DEC54089-ATT228,false,Art. 6(1)(b),MUTARES / WALOR INTERNATIONAL,2023-07-19,2023-08-14,Merger,M.11100,Council Regulation 139/2004,Simplified procedure,MUTARES / WALOR INTERNATIONAL,2023-08-14,54089,2023-08-21,DecisionType20310,Art. 6(1)(b),en,M.11100-DEC54089
M.11585-DEC54847-ATT147,false,Art. 6(1)(b),EPR / UNIPER GROUP (TRADING ASSETS),2024-08-08,2024-09-02,Merger,M.11585,Council Regulation 139/2004,Simplified procedure,EPR / UNIPER GROUP (TRADING ASSETS),2024-09-02,54847,2024-09-06,DecisionType20310,Art. 6(1)(b),en,M.11585-DEC54847
M.11101-DEC53982-ATT119,false,Art. 6(1)(b),CEPSA / BOH / BWT,2023-05-22,2023-06-14,Merger,M.11101,Council Regulation 139/2004,Simplified procedure,CEPSA / BOH / BWT,2023-06-14,53982,2023-06-26,DecisionType20310,Art. 6(1)(b),en,M.11101-DEC53982
M.11586-DEC54941-ATT91,false,Art. 6(1)(b),MASDAR / EDFI / JV,2024-09-25,2024-10-18,Merger,M.11586,Council Regulation 139/2004,Super simplified procedure,MASDAR / EDFI / JV,2024-10-18,54941,2024-10-28,DecisionType20310,Art. 6(1)(b),en,M.11586-DEC54941
M.11102-DEC53984-ATT128,false,Art. 6(1)(b),SILVER FAWN / MHI / AYOSA HOTELES / EVERTMEL / JAMAICA DEVCO,2023-05-22,2023-06-14,Merger,M.11102,Council Regulation 139/2004,Simplified procedure,SILVER FAWN / MHI / AYOSA HOTELES / EVERTMEL / JAMAICA DEVCO,2023-06-14,53984,,DecisionType20310,Art. 6(1)(b),en,M.11102-DEC53984
M.11587-DEC54936-ATT91,false,Art. 6(1)(b),MASDAR / EDFR / NESMA / JV,2024-09-25,2024-10-17,Merger,M.11587,Council Regulation 139/2004,Super simplified procedure,MASDAR / EDFR / NESMA / JV,2024-10-17,54936,2024-10-24,DecisionType20310,Art. 6(1)(b),en,M.11587-DEC54936
M.11103-DEC53993-ATT103,false,Art. 6(1)(b),PUBLIC POWER CORPORATION / ENEL ROMANIA,2023-05-31,2023-06-22,Merger,M.11103,Council Regulation 139/2004,Simplified procedure,PUBLIC POWER CORPORATION / ENEL ROMANIA,2023-06-22,53993,2023-09-29,DecisionType20310,Art. 6(1)(b),en,M.11103-DEC53993
M.11588-DEC54775-ATT145,false,Art. 6(1)(b),LOGISTEED / ALPS ALPINE / ALPS LOGISTICS,2024-07-02,2024-07-24,Merger,M.11588,Council Regulation 139/2004,Simplified procedure,LOGISTEED / ALPS ALPINE / ALPS LOGISTICS,2024-07-24,54775,2024-08-06,DecisionType20310,Art. 6(1)(b),en,M.11588-DEC54775
M.11104-DEC54025-ATT129,false,Art. 6(1)(b),HUTCHISON PORTS SOKHNA / GOLDEN CHANCE INVESTMENT ENTERPRISE / CMA TERMINALS / JV,2023-06-15,2023-07-07,Merger,M.11104,Council Regulation 139/2004,Simplified procedure,HUTCHISON PORTS SOKHNA / GOLDEN CHANCE INVESTMENT ENTERPRISE / CMA TERMINALS / JV,2023-07-07,54025,2023-07-14,DecisionType20310,Art. 6(1)(b),en,M.11104-DEC54025
M.11589-DEC54672-ATT79,false,Art. 6(1)(b),ABB / NIEDAX / EAGLE JV HOLDCO INC,2024-05-21,2024-06-12,Merger,M.11589,Council Regulation 139/2004,Super simplified procedure,ABB / NIEDAX / EAGLE JV HOLDCO INC,2024-06-12,54672,2024-06-21,DecisionType20310,Art. 6(1)(b),en,M.11589-DEC54672
M.11105-DEC53976-ATT176,false,Art. 6(1)(b),GOLDMAN SACHS / PLATINUM SPRING / DAIWA RESORT,2023-05-15,2023-06-12,Merger,M.11105,Council Regulation 139/2004,Simplified procedure,GOLDMAN SACHS / PLATINUM SPRING / DAIWA RESORT,2023-06-12,53976,2023-07-05,DecisionType20310,Art. 6(1)(b),en,M.11105-DEC53976
M.11106-DEC54048-ATT521,false,Art. 6(1)(b),STELLANTIS / MICHELIN / FORVIA / SYMBIO,2023-06-12,2023-07-17,Merger,M.11106,Council Regulation 139/2004,Normal procedure,STELLANTIS / MICHELIN / FORVIA / SYMBIO,2023-07-17,54048,2023-09-18,DecisionType20310,Art. 6(1)(b),en,M.11106-DEC54048
M.11107-DEC53975-ATT86,false,Art. 6(1)(b),EDF / SEKG / NEBRAS / QUWATT / SCE-QUVVAT,2023-05-11,2023-06-12,Merger,M.11107,Council Regulation 139/2004,Simplified procedure,EDF / SEKG / NEBRAS / QUWATT / SCE-QUVVAT,2023-06-12,53975,2023-06-16,DecisionType20310,Art. 6(1)(b),en,M.11107-DEC53975
M.11990-DEC55365-ATT134,false,Art. 6(1)(b),CLEARLAKE / DUN & BRADSTREET,2025-05-19,2025-06-13,Merger,M.11990,Council Regulation 139/2004,Simplified procedure,CLEARLAKE / DUN & BRADSTREET,2025-06-13,55365,2025-08-07,DecisionType20310,Art. 6(1)(b),en,M.11990-DEC55365
M.11999-DEC55434-ATT125,false,Art. 6(1)(b),H.I.G. EU MM LBO II / ALA,2025-06-23,2025-07-15,Merger,M.11999,Council Regulation 139/2004,Simplified procedure,H.I.G. EU MM LBO II / ALA,2025-07-15,55434,2025-07-22,DecisionType20310,Art. 6(1)(b),en,M.11999-DEC55434
M.11515-DEC55042-ATT1674,false,Art. 6(1)(b),VEOLIA ENVIRONNEMENT / UNIPER HUNGARY ENERGETIKAI | VEOLIA ENVIRONMENT / UNIPER HUNGARY ENERGETIKAI,2024-10-30,2024-12-05,Merger,M.11515,Council Regulation 139/2004,Normal procedure,VEOLIA ENVIRONNEMENT / UNIPER HUNGARY ENERGETIKAI,2024-12-05,55042,2025-05-02,DecisionType20310,Art. 6(1)(b),en,M.11515-DEC55042
M.10667-DEC53330-ATT120,false,Art. 6(1)(b),VESA / POSTNL,2022-05-06,2022-06-03,Merger,M.10667,Council Regulation 139/2004,Simplified procedure,VESA / POSTNL,2022-06-03,53330,2022-06-10,DecisionType20310,Art. 6(1)(b),en,M.10667-DEC53330
M.11516-DEC54868-ATT192,false,Art. 6(1)(b),FERTINAGRO / AMEROPA / AMEROPA BIOTECH,2024-08-19,2024-09-10,Merger,M.11516,Council Regulation 139/2004,Simplified procedure,FERTINAGRO / AMEROPA / AMEROPA BIOTECH,2024-09-10,54868,2024-09-18,DecisionType20310,Art. 6(1)(b),en,M.11516-DEC54868
M.10666-DEC53271-ATT127,false,Art. 6(1)(b),BROOKFIELD / TELIA COMPANY / TELIA TOWERS SWEDEN,2022-03-29,2022-04-25,Merger,M.10666,Council Regulation 139/2004,Simplified procedure,BROOKFIELD / TELIA COMPANY / TELIA TOWERS SWEDEN,2022-04-25,53271,2022-05-11,DecisionType20310,Art. 6(1)(b),en,M.10666-DEC53271
M.11517-DEC54584-ATT74,false,Art. 6(1)(b),CKI / CKA / PHOENIX ENERGY,2024-03-20,2024-04-16,Merger,M.11517,Council Regulation 139/2004,Super simplified procedure,CKI / CKA / PHOENIX ENERGY,2024-04-16,54584,2024-07-05,DecisionType20310,Art. 6(1)(b),en,M.11517-DEC54584
M.10665-DEC53218-ATT103,false,Art. 6(1)(b),WAVERLY / TPG / ASIA HEALTHCARE HOLDINGS,2022-03-02,2022-03-25,Merger,M.10665,Council Regulation 139/2004,Simplified procedure,WAVERLY / TPG / ASIA HEALTHCARE HOLDINGS,2022-03-25,53218,2022-04-12,DecisionType20310,Art. 6(1)(b),en,M.10665-DEC53218
M.11518-DEC54746-ATT114,false,Art. 6(1)(b),MACQUARIE / ABERDEEN / AIP / CERTAIN DIGI ASSETS IN SPAIN,2024-06-11,2024-07-09,Merger,M.11518,Council Regulation 139/2004,Simplified procedure,MACQUARIE / ABERDEEN / AIP / CERTAIN DIGI ASSETS IN SPAIN,2024-07-09,54746,2024-07-18,DecisionType20310,Art. 6(1)(b),en,M.11518-DEC54746
M.10664-DEC53369-ATT164,false,Art. 6(1)(b),XLCEE / DEROT / BLACK RED WHITE,2022-05-25,2022-06-21,Merger,M.10664,Council Regulation 139/2004,Simplified procedure,XLCEE / DEROT / BLACK RED WHITE,2022-06-21,53369,2022-07-01,DecisionType20310,Art. 6(1)(b),en,M.10664-DEC53369
M.11519-DEC54725-ATT205,false,Art. 6(1)(b),COGNE ACCIAI SPECIALI / MANNESMANN STAINLESS TUBES,2024-06-05,2024-06-27,Merger,M.11519,Council Regulation 139/2004,Simplified procedure,COGNE ACCIAI SPECIALI / MANNESMANN STAINLESS TUBES,2024-06-27,54725,2024-07-08,DecisionType20310,Art. 6(1)(b),en,M.11519-DEC54725
M.10663-DEC{36B63847-66DD-44D0-8297-BD3CC0410176}-ATT2225,true,Art. 8(2) with conditions & obligations,,2022-02-01,2023-03-20,Merger,M.10663,Council Regulation 139/2004,Normal,ORANGE / VOO / BRUTELE,2023-03-20,36B63847-66DD-44D0-8297-BD3CC0410176,2023-12-18,DecisionType20600,Art. 8(2) with conditions & obligations,en,M.10663-DEC{36B63847-66DD-44D0-8297-BD3CC0410176}
M.10662-DEC53333-ATT98,false,Art. 6(1)(b),ATLANTIA / YUNEX,2022-05-10,2022-06-07,Merger,M.10662,Council Regulation 139/2004,Simplified procedure,ATLANTIA / YUNEX,2022-06-07,53333,2022-06-13,DecisionType20310,Art. 6(1)(b),en,M.10662-DEC53333
M.10661-DEC53298-ATT79,false,Art. 6(1)(b),BAIN CAPITAL / INETUM,2022-04-08,2022-05-11,Merger,M.10661,Council Regulation 139/2004,Simplified procedure,BAIN CAPITAL / INETUM,2022-05-11,53298,2022-05-17,DecisionType20310,Art. 6(1)(b),en,M.10661-DEC53298
M.10660-DEC53390-ATT350,false,Art. 6(1)(b),MONTAGU / HG / WAYSTONE / KB ASSOCIATES,2022-05-24,2022-06-30,Merger,M.10660,Council Regulation 139/2004,Normal procedure,MONTAGU / HG / WAYSTONE / KB ASSOCIATES,2022-06-30,53390,2022-10-19,DecisionType20310,Art. 6(1)(b),en,M.10660-DEC53390
M.11991-DEC55449-ATT151,false,Art. 6(1)(b),BMWE / MOF NDS / MEYER GERMANY II,2025-06-26,2025-07-23,Merger,M.11991,Council Regulation 139/2004,Simplified procedure,BMWE / MOF NDS / MEYER GERMANY II,2025-07-23,55449,2025-08-19,DecisionType20310,Art. 6(1)(b),en,M.11991-DEC55449
M.11994-DEC55408-ATT146,false,Art. 6(1)(b),BCI / ETHOS / OTPP / BROADSTREET,2025-06-10,2025-07-03,Merger,M.11994,Council Regulation 139/2004,Simplified procedure,BCI / ETHOS / OTPP / BROADSTREET,2025-07-03,55408,2025-08-04,DecisionType20310,Art. 6(1)(b),en,M.11994-DEC55408
M.11510-DEC54834-ATT131,false,Art. 6(1)(b),ACS / TK / YORIZON,2024-07-24,2024-08-23,Merger,M.11510,Council Regulation 139/2004,Simplified procedure,ACS / TK / YORIZON,2024-08-23,54834,2024-08-30,DecisionType20310,Art. 6(1)(b),en,M.11510-DEC54834
M.11995-DEC55589-ATT283,false,Art. 6(1)(b),PRADA / VERSACE,2025-09-02,2025-09-29,Merger,M.11995,Council Regulation 139/2004,Simplified procedure,PRADA / VERSACE,2025-09-29,55589,2025-10-15,DecisionType20310,Art. 6(1)(b),en,M.11995-DEC55589
M.11511-DEC54610-ATT113,false,Art. 4(4) - Full referral,CMA CGM / ALTICE MEDIA,,2024-05-06,Merger,M.11511,Council Regulation 139/2004,Normal procedure,CMA CGM / ALTICE MEDIA,2024-05-06,54610,,DecisionType201220,Art. 4(4) - Full referral,en,M.11511-DEC54610
M.11996-DEC55363-ATT90,false,Art. 6(1)(b),EMIF II HOLDING / AC / AC LOGISTICS HOLDINGS CORPORATION,2025-05-19,2025-06-13,Merger,M.11996,Council Regulation 139/2004,Super simplified procedure,EMIF II HOLDING / AC / AC LOGISTICS HOLDINGS CORPORATION,2025-06-13,55363,2025-06-24,DecisionType20310,Art. 6(1)(b),en,M.11996-DEC55363
M.11512-DEC54701-ATT152,false,Art. 6(1)(b),OTPP / NORDIC CAPITAL / ADVANZ PHARMA,2024-05-31,2024-06-24,Merger,M.11512,Council Regulation 139/2004,Simplified procedure,OTPP / NORDIC CAPITAL / ADVANZ PHARMA,2024-06-24,54701,2024-07-03,DecisionType20310,Art. 6(1)(b),en,M.11512-DEC54701
M.11997-DEC55335-ATT159,false,Art. 6(1)(b),MADISON DEARBORN PARTNERS /  THOMA BRAVO / NEXTGEN HEALTHCARE | MADISON DEARBORN PARTNERS /  THOMA BRAVO / NEXTGEN HEALTHCARE ,2025-05-05,2025-06-03,Merger,M.11997,Council Regulation 139/2004,Simplified procedure,MADISON DEARBORN PARTNERS /  THOMA BRAVO / NEXTGEN HEALTHCARE ,2025-06-03,55335,2025-06-16,DecisionType20310,Art. 6(1)(b),en,M.11997-DEC55335
M.11513-DEC{22D28B2B-A4FB-427E-A39F-D1DC24D92596}-ATT198,false,Art. 6(1)(b),,2024-03-19,2024-07-19,Merger,M.11513,Council Regulation 139/2004,Simplified,MSC / ESSERS / MACHIELS / PORT OF LIMBURG,2024-07-19,22D28B2B-A4FB-427E-A39F-D1DC24D92596,2024-08-07,DecisionType20310,Art. 6(1)(b),en,M.11513-DEC{22D28B2B-A4FB-427E-A39F-D1DC24D92596}
