case_caseNumber,case_caseSectors_code,case_caseSectors_label,case_caseSectors_code_level1,case_caseSectors_code_level2,case_caseSectors_code_level3,has_keyword_hit
M.10039,NaceSectorsC_16_2_9,"C.16.29 - Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",NaceSectorsC,NaceSectorsC_16,NaceSectorsC_16_2,0
M.1004,NaceSectorsC_30_1_1,C.30.11 - Building of ships and floating structures,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_1,0
M.10040,NaceSectorsF_42_1,F.42.1 - Construction of roads and railways,NaceSectorsF,NaceSectorsF_42,NaceSectorsF_42_1,0
M.10040,NaceSectorsF_42_9,F.42.9 - Construction of other civil engineering projects,NaceSectorsF,NaceSectorsF_42,NaceSectorsF_42_9,0
M.10040,NaceSectorsF_43_2_1,F.43.21 - Electrical installation,NaceSectorsF,NaceSectorsF_43,NaceSectorsF_43_2,0
M.10040,NaceSectorsF_43_2_9,F.43.29 - Other construction installation,NaceSectorsF,NaceSectorsF_43,NaceSectorsF_43_2,0
M.10041,NaceSectorsC_10,C.10 - Manufacture of food products,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10,0
M.10042,NaceSectorsJ_62,"J.62 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62,0
M.10043,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.10043,NaceSectorsK_66_1,"K.66.1 - Activities auxiliary to financial services, except insurance and pension funding",NaceSectorsK,NaceSectorsK_66,NaceSectorsK_66_1,0
M.10043,NaceSectorsK_66_1_9,"K.66.19 - Other activities auxiliary to financial services, except insurance and pension funding",NaceSectorsK,NaceSectorsK_66,NaceSectorsK_66_1,0
M.10044,NaceSectorsG_46_4,G.46.4 - Wholesale of household goods,NaceSectorsG,NaceSectorsG_46,NaceSectorsG_46_4,0
M.10044,NaceSectorsG_47_1,G.47.1 - Retail sale in non-specialised stores,NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47_1,0
M.10044,NaceSectorsI_56_1,I.56.1 - Restaurants and mobile food service activities,NaceSectorsI,NaceSectorsI_56,NaceSectorsI_56_1,0
M.10045,NaceSectorsM_74_9,"M.74.9 - Other professional, scientific and technical activities n.e.c.",NaceSectorsM,NaceSectorsM_74,NaceSectorsM_74_9,0
M.10046,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.10047,NaceSectorsE_38_1_2,E.38.12 - Collection of hazardous waste,NaceSectorsE,NaceSectorsE_38,NaceSectorsE_38_1,0
M.10047,NaceSectorsE_38_2,E.38.2 - Waste treatment and disposal,NaceSectorsE,NaceSectorsE_38,NaceSectorsE_38_2,0
M.10047,NaceSectorsG_47_1,G.47.1 - Retail sale in non-specialised stores,NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47_1,0
M.10048,NaceSectorsC_29_1,C.29.1 - Manufacture of motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_1,0
M.10049,NaceSectorsH_52_2_1,H.52.21 - Service activities incidental to land transportation,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_2,0
M.1005,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.10051,NaceSectorsJ_61_1,J.61.1 - Wired telecommunications activities,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61_1,0
